id	title	description	availability	condition	price	link	image_link	brand	google_product_category	product_type	custom_label_0	custom_label_1	custom_label_2
cosmik-taza-de-cafe-con-crema	Taza de café con crema	Taza de café con crema de Cosmik. Vela artesanal hecha a mano. Medidas aproximadas: 10cm diámetro x10cm alto. Producto on-demand y personalizable en esencia, color y acabado.	in stock	new	60000 COP	https://www.wearecosmik.com/product-page/taza-de-café-con-crema	https://static.wixstatic.com/media/ce53cb_e91cf9d5fa7b428fbe7b13b661fd9aee~mv2.png/v1/fill/w_498,h_619,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/ce53cb_e91cf9d5fa7b428fbe7b13b661fd9aee~mv2.png	Cosmik	Home & Garden > Decor > Home Fragrances > Candles	Velas	On-demand	Personalizable	Seccion Velas web 2026-05-19
cosmik-arcoiris-arco	Arcoíris / Arco	Arcoíris / Arco de Cosmik. Vela artesanal hecha a mano. Medidas aproximadas: 14cm diámetro x 16cm alto. Producto on-demand y personalizable en esencia, color y acabado.	in stock	new	45000 COP	https://www.wearecosmik.com/product-page/arcoíris-arco	https://static.wixstatic.com/media/ce53cb_11f563522d574a16b27f6915a43e6e7b~mv2.png/v1/fill/w_498,h_743,al_c,q_90,usm_0.66_1.00_0.01,enc_avif,quality_auto/ce53cb_11f563522d574a16b27f6915a43e6e7b~mv2.png	Cosmik	Home & Garden > Decor > Home Fragrances > Candles	Velas	On-demand	Personalizable	Seccion Velas web 2026-05-19
cosmik-globo-perrito	Globo perrito	Globo perrito de Cosmik. Vela artesanal hecha a mano. Medidas aproximadas: 5cm diámetro x 6cm alto. Producto on-demand y personalizable en esencia, color y acabado.	in stock	new	2500 COP	https://www.wearecosmik.com/product-page/globo-perrito	https://static.wixstatic.com/media/ce53cb_2fd8f37dfb164a51b5962bcbde3d5ddf~mv2.jpg/v1/fill/w_498,h_619,al_c,q_80,usm_0.66_1.00_0.01,enc_avif,quality_auto/ce53cb_2fd8f37dfb164a51b5962bcbde3d5ddf~mv2.jpg	Cosmik	Home & Garden > Decor > Home Fragrances > Candles	Velas	On-demand	Personalizable	Seccion Velas web 2026-05-19
cosmik-koala	Koala	Koala de Cosmik. Vela artesanal hecha a mano. Medidas aproximadas: 9cm diámetro x 7.5cm alto. Producto on-demand y personalizable en esencia, color y acabado.	in stock	new	35000 COP	https://www.wearecosmik.com/product-page/koala	https://static.wixstatic.com/media/ce53cb_114e0bf8be0f4393875879112e36c576~mv2.jpg/v1/fill/w_498,h_668,al_c,q_80,usm_0.66_1.00_0.01,enc_avif,quality_auto/ce53cb_114e0bf8be0f4393875879112e36c576~mv2.jpg	Cosmik	Home & Garden > Decor > Home Fragrances > Candles	Velas	On-demand	Personalizable	Seccion Velas web 2026-05-19
cosmik-dinosaurio-1	Dinosaurio	Dinosaurio de Cosmik. Vela artesanal hecha a mano. Medidas aproximadas: 11cm diámetro x 10cm alto. Producto on-demand y personalizable en esencia, color y acabado.	in stock	new	45000 COP	https://www.wearecosmik.com/product-page/dinosaurio-1	https://static.wixstatic.com/media/ce53cb_abb7636c736848adb1c42c3a3244d35f~mv2.png/v1/fill/w_498,h_743,al_c,q_90,usm_0.66_1.00_0.01,enc_avif,quality_auto/ce53cb_abb7636c736848adb1c42c3a3244d35f~mv2.png	Cosmik	Home & Garden > Decor > Home Fragrances > Candles	Velas	On-demand	Personalizable	Seccion Velas web 2026-05-19
cosmik-gallina	Gallina	Gallina de Cosmik. Vela artesanal hecha a mano. Medidas aproximadas: 9cm diámetro x 8cm alto. Producto on-demand y personalizable en esencia, color y acabado.	in stock	new	45000 COP	https://www.wearecosmik.com/product-page/gallina	https://static.wixstatic.com/media/ce53cb_e13eea63194d4efb8f462b36ba894d53~mv2.jpg/v1/fill/w_498,h_668,al_c,q_80,usm_0.66_1.00_0.01,enc_avif,quality_auto/ce53cb_e13eea63194d4efb8f462b36ba894d53~mv2.jpg	Cosmik	Home & Garden > Decor > Home Fragrances > Candles	Velas	On-demand	Personalizable	Seccion Velas web 2026-05-19
cosmik-tortuguita	Tortuguita	Tortuguita de Cosmik. Vela artesanal hecha a mano. Medidas aproximadas: 5.5cm diámetro x 3cm alto. Producto on-demand y personalizable en esencia, color y acabado.	in stock	new	5000 COP	https://www.wearecosmik.com/product-page/tortuguita	https://static.wixstatic.com/media/ce53cb_8242930f59a74786bcb50f55fbce9987~mv2.png/v1/fill/w_498,h_619,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/ce53cb_8242930f59a74786bcb50f55fbce9987~mv2.png	Cosmik	Home & Garden > Decor > Home Fragrances > Candles	Velas	On-demand	Personalizable	Seccion Velas web 2026-05-19
cosmik-llama	Llama	Llama de Cosmik. Vela artesanal hecha a mano. Medidas aproximadas: 7cm diámetro x 10cm alto. Producto on-demand y personalizable en esencia, color y acabado.	in stock	new	25000 COP	https://www.wearecosmik.com/product-page/llama	https://static.wixstatic.com/media/ce53cb_8f4d3656d9c44b45ae7ef2dfc02fe9f5~mv2.png/v1/fill/w_498,h_848,al_c,q_90,usm_0.66_1.00_0.01,enc_avif,quality_auto/ce53cb_8f4d3656d9c44b45ae7ef2dfc02fe9f5~mv2.png	Cosmik	Home & Garden > Decor > Home Fragrances > Candles	Velas	On-demand	Personalizable	Seccion Velas web 2026-05-19
cosmik-corgi	Corgi	Corgi de Cosmik. Vela artesanal hecha a mano. Medidas aproximadas: 8cm diámetro x 6cm alto. Producto on-demand y personalizable en esencia, color y acabado.	in stock	new	25000 COP	https://www.wearecosmik.com/product-page/corgi	https://static.wixstatic.com/media/ce53cb_f6e7d2cbad41420d9dbb7a5a18179dd8~mv2.png/v1/fill/w_498,h_1082,al_c,q_90,usm_0.66_1.00_0.01,enc_avif,quality_auto/ce53cb_f6e7d2cbad41420d9dbb7a5a18179dd8~mv2.png	Cosmik	Home & Garden > Decor > Home Fragrances > Candles	Velas	On-demand	Personalizable	Seccion Velas web 2026-05-19
cosmik-pato-2	Pato	Pato de Cosmik. Vela artesanal hecha a mano. Medidas aproximadas: 5cm diámetro x 7cm alto. Producto on-demand y personalizable en esencia, color y acabado.	in stock	new	35000 COP	https://www.wearecosmik.com/product-page/pato-2	https://static.wixstatic.com/media/ce53cb_a60d459155fd4f03a39c2fa4884944b8~mv2.png/v1/fill/w_498,h_619,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/ce53cb_a60d459155fd4f03a39c2fa4884944b8~mv2.png	Cosmik	Home & Garden > Decor > Home Fragrances > Candles	Velas	On-demand	Personalizable	Seccion Velas web 2026-05-19
cosmik-aguacate	Aguacate	Aguacate de Cosmik. Vela artesanal hecha a mano. Medidas aproximadas: 9cm diámetro x 5cm alto. Producto on-demand y personalizable en esencia, color y acabado.	in stock	new	35000 COP	https://www.wearecosmik.com/product-page/aguacate	https://static.wixstatic.com/media/ce53cb_ad103d5ddea54f9580852ae3c09cdc1f~mv2.png/v1/fill/w_498,h_521,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/ce53cb_ad103d5ddea54f9580852ae3c09cdc1f~mv2.png	Cosmik	Home & Garden > Decor > Home Fragrances > Candles	Velas	On-demand	Personalizable	Seccion Velas web 2026-05-19
cosmik-tostada-doble-con-merengue	Tostada doble con merengue	Tostada doble con merengue de Cosmik. Vela artesanal hecha a mano. Medidas aproximadas: 7cm diámetro x 8cm alto. Producto on-demand y personalizable en esencia, color y acabado.	in stock	new	60000 COP	https://www.wearecosmik.com/product-page/tostada-doble-con-merengue	https://static.wixstatic.com/media/ce53cb_ff892ae8ed9c4c0d8576295a2ad3edc7~mv2.png/v1/fill/w_498,h_627,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/ce53cb_ff892ae8ed9c4c0d8576295a2ad3edc7~mv2.png	Cosmik	Home & Garden > Decor > Home Fragrances > Candles	Velas	On-demand	Personalizable	Seccion Velas web 2026-05-19
cosmik-hello-kitty	Hello Kitty	Hello Kitty de Cosmik. Vela artesanal hecha a mano. Medidas aproximadas: 4cm diámetro x 5cm alto. Producto on-demand y personalizable en esencia, color y acabado.	in stock	new	25000 COP	https://www.wearecosmik.com/product-page/hello-kitty	https://static.wixstatic.com/media/ce53cb_fccefd48b0d944d6a566a9a9a5db2840~mv2.png/v1/fill/w_458,h_614,al_c,lg_1,q_85,enc_avif,quality_auto/ce53cb_fccefd48b0d944d6a566a9a9a5db2840~mv2.png	Cosmik	Home & Garden > Decor > Home Fragrances > Candles	Velas	On-demand	Personalizable	Seccion Velas web 2026-05-19
cosmik-cerdito-cochino-de-la-suerte	Cerdito Cochino de la Suerte	Cerdito Cochino de la Suerte de Cosmik. Vela artesanal hecha a mano. Medidas aproximadas: 7cm diámetro x 6cm alto. Producto on-demand y personalizable en esencia, color y acabado.	in stock	new	45000 COP	https://www.wearecosmik.com/product-page/cerdito-cochino-de-la-suerte	https://static.wixstatic.com/media/ce53cb_2256de73ca574ebcaa4401a89dceaeb9~mv2.jpg/v1/fill/w_498,h_619,al_c,q_80,usm_0.66_1.00_0.01,enc_avif,quality_auto/ce53cb_2256de73ca574ebcaa4401a89dceaeb9~mv2.jpg	Cosmik	Home & Garden > Decor > Home Fragrances > Candles	Velas	On-demand	Personalizable	Seccion Velas web 2026-05-19
cosmik-estatua-david	Estatua David	Estatua David de Cosmik. Vela artesanal hecha a mano. Medidas aproximadas: 5cm diámetro x 8cm alto. Producto on-demand y personalizable en esencia, color y acabado.	in stock	new	15000 COP	https://www.wearecosmik.com/product-page/estatua-david	https://static.wixstatic.com/media/ce53cb_c435f0ba538e4d61acceb528c2661780~mv2.png/v1/fill/w_498,h_743,al_c,q_90,usm_0.66_1.00_0.01,enc_avif,quality_auto/ce53cb_c435f0ba538e4d61acceb528c2661780~mv2.png	Cosmik	Home & Garden > Decor > Home Fragrances > Candles	Velas	On-demand	Personalizable	Seccion Velas web 2026-05-19
cosmik-mazorca-maiz	Mazorca / Maíz	Mazorca / Maíz de Cosmik. Vela artesanal hecha a mano. Medidas aproximadas: 5cm diámetro x 7cm alto. Producto on-demand y personalizable en esencia, color y acabado.	in stock	new	35000 COP	https://www.wearecosmik.com/product-page/mazorca-maíz	https://static.wixstatic.com/media/ce53cb_8e4215ae3df944eeab815c4d3fca27ca~mv2.jpg/v1/fill/w_498,h_619,al_c,q_80,usm_0.66_1.00_0.01,enc_avif,quality_auto/ce53cb_8e4215ae3df944eeab815c4d3fca27ca~mv2.jpg	Cosmik	Home & Garden > Decor > Home Fragrances > Candles	Velas	On-demand	Personalizable	Seccion Velas web 2026-05-19
